grant_key	principal	principal_kind	record_kind	object_kind	object_schema	object_identity	privilege_or_attribute	expected_effective	actual_effective	actual_direct	grantor	is_grantable	effective_via	default_acl_owner	default_acl_schema	test_id	replay_match	status
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation_version|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation_version	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_evaluation|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_evaluation	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_scope|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_scope	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider_policy_version|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider_policy_version	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|provider|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	provider	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_locator|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_locator	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_observation|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_observation	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_provider_object|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_provider_object	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_representation|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_representation	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment_visual_reference|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment_visual_reference	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_assessment|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_assessment	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_locator|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_locator	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|TRUNCATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	TRUNCATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_provider_object|UPDATE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_provider_object	UPDATE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_representation|DELETE	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_representation	DELETE	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_representation|INSERT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_representation	INSERT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_representation|REFERENCES	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_representation	REFERENCES	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_representation|SELECT	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_representation	SELECT	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
gda_v49_phase2a_auditor|RELATION_PRIVILEGE|rights|rights_observation_representation|TRIGGER	gda_v49_phase2a_auditor	ROLE	RELATION_PRIVILEGE	TABLE	rights	rights_observation_representation	TRIGGER	false	false	false	\N	\N	DIRECT	\N	\N	P2A-SEC-ROLE-MATRIX	true	PASS
