cluster_key,priority_rank,packet_layer,recommended_first_action,blocking_issue,safe_for_sandbox_packet_trial,packet_scale,packet_readiness,packet_confidence,packet_relation_lane,region,theme,source_family,five_year_bucket,actual_year_span,global_scope_policy,cluster_size,role_rows,anchor_candidate_count,sub_candidate_count,card_candidate_count,appendix_candidate_count,text_deficit_count,minimum_text_pages,editorial_page_requirement,cover_main_requirement,normal_main_policy,folder_directory_mode,reason
Global / transnational|Modern typography and layout|Wikimedia Commons|1970-1974,10,phase_0_scope_review,resolve_global_or_macro_scope_before_packet_shape,global_or_macro_scope_unresolved,false,large,scope_review_before_packet,low,macro_cluster_needs_split,Global / transnational,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,global_host_requires_scope_review,673,673,42,355,250,0,0,15,mandatory_editorial_page,cover_main_required,multiple_normal_mains_allowed_under_cover,packet_tree_directory,scale=large; sub_candidates=355; card_candidates=250; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Lithuania|Modern typography and layout|Wikimedia Commons|1920-1924,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Lithuania,Modern typography and layout,Wikimedia Commons,1920-1924,1920-1924,region_specific_or_not_global,25,25,0,0,25,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=25; scope=region_specific_or_not_global; lane=card_context_cluster
Mexico|Modern typography and layout|Wikimedia Commons|1885-1889,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Mexico,Modern typography and layout,Wikimedia Commons,1885-1889,1885-1888,region_specific_or_not_global,24,24,0,1,23,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=23; scope=region_specific_or_not_global; lane=card_context_cluster
Nigeria|Modern typography and layout|Wikimedia Commons|1945-1949,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Nigeria,Modern typography and layout,Wikimedia Commons,1945-1949,1945-1948,region_specific_or_not_global,24,24,0,21,3,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=21; card_candidates=3; scope=region_specific_or_not_global; lane=packet_parentage_review
Peru|Modern typography and layout|Wikimedia Commons|1965-1969,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Peru,Modern typography and layout,Wikimedia Commons,1965-1969,1965-1969,region_specific_or_not_global,24,24,0,0,24,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=24; scope=region_specific_or_not_global; lane=card_context_cluster
Peru|Modern typography and layout|Wikimedia Commons|1905-1909,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Peru,Modern typography and layout,Wikimedia Commons,1905-1909,1905-1909,region_specific_or_not_global,23,23,0,1,20,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=20; scope=region_specific_or_not_global; lane=card_context_cluster
Philippines|Modern typography and layout|Wikimedia Commons|1990-1994,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Philippines,Modern typography and layout,Wikimedia Commons,1990-1994,1991-1994,region_specific_or_not_global,22,22,0,1,21,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=21; scope=region_specific_or_not_global; lane=card_context_cluster
Aotearoa New Zealand|Modern typography and layout|Wikimedia Commons|1920-1924,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Aotearoa New Zealand,Modern typography and layout,Wikimedia Commons,1920-1924,1920-1924,region_specific_or_not_global,21,21,0,12,9,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=12; card_candidates=9; scope=region_specific_or_not_global; lane=packet_parentage_review
Brazil|Modern typography and layout|Wikimedia Commons|1970-1974,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Brazil,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,region_specific_or_not_global,21,21,0,1,20,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=20; scope=region_specific_or_not_global; lane=card_context_cluster
Brazil|Modern typography and layout|Wikimedia Commons|1975-1979,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Brazil,Modern typography and layout,Wikimedia Commons,1975-1979,1975-1979,region_specific_or_not_global,21,21,0,2,19,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=19; scope=region_specific_or_not_global; lane=packet_parentage_review
Argentina|Modern typography and layout|Wikimedia Commons|1900-1904,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Argentina,Modern typography and layout,Wikimedia Commons,1900-1904,1900-1904,region_specific_or_not_global,20,20,0,3,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=3; card_candidates=14; scope=region_specific_or_not_global; lane=packet_parentage_review
Argentina|Modern typography and layout|Wikimedia Commons|1910-1914,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Argentina,Modern typography and layout,Wikimedia Commons,1910-1914,1912-1914,region_specific_or_not_global,20,20,0,1,19,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=19; scope=region_specific_or_not_global; lane=card_context_cluster
Brazil|Modern typography and layout|Wikimedia Commons|1940-1944,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Brazil,Modern typography and layout,Wikimedia Commons,1940-1944,1940-1944,region_specific_or_not_global,20,20,0,3,16,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=3; card_candidates=16; scope=region_specific_or_not_global; lane=packet_parentage_review
Colombia|Modern typography and layout|Wikimedia Commons|1890-1894,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Colombia,Modern typography and layout,Wikimedia Commons,1890-1894,1890-1894,region_specific_or_not_global,20,20,0,0,20,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=20; scope=region_specific_or_not_global; lane=card_context_cluster
Algeria|Modern typography and layout|Wikimedia Commons|1965-1969,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Algeria,Modern typography and layout,Wikimedia Commons,1965-1969,1965-1969,region_specific_or_not_global,19,19,0,4,15,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=4; card_candidates=15; scope=region_specific_or_not_global; lane=packet_parentage_review
Belgium|Modern typography and layout|Wikimedia Commons|1930-1934,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Belgium,Modern typography and layout,Wikimedia Commons,1930-1934,1931-1932,region_specific_or_not_global,19,19,0,0,18,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=18; scope=region_specific_or_not_global; lane=card_context_cluster
Moldova|Modern typography and layout|Wikimedia Commons|1995-1999,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Moldova,Modern typography and layout,Wikimedia Commons,1995-1999,1995-1999,region_specific_or_not_global,19,19,0,0,19,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=19; scope=region_specific_or_not_global; lane=card_context_cluster
Peru|Modern typography and layout|Wikimedia Commons|1950-1954,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Peru,Modern typography and layout,Wikimedia Commons,1950-1954,1950-1953,region_specific_or_not_global,19,19,0,1,18,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=18; scope=region_specific_or_not_global; lane=card_context_cluster
Tanzania|Modern typography and layout|Wikimedia Commons|1965-1969,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Tanzania,Modern typography and layout,Wikimedia Commons,1965-1969,1967-1969,region_specific_or_not_global,19,19,0,0,19,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=19; scope=region_specific_or_not_global; lane=card_context_cluster
Argentina|Modern typography and layout|Wikimedia Commons|1960-1964,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Argentina,Modern typography and layout,Wikimedia Commons,1960-1964,1961-1964,region_specific_or_not_global,18,18,0,8,10,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=8; card_candidates=10; scope=region_specific_or_not_global; lane=packet_parentage_review
Iraq|Modern typography and layout|Wikimedia Commons|1950-1954,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Iraq,Modern typography and layout,Wikimedia Commons,1950-1954,1951-1954,region_specific_or_not_global,18,18,0,0,18,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=18; scope=region_specific_or_not_global; lane=card_context_cluster
Kazakhstan|Modern typography and layout|Wikimedia Commons|2005-2009,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Kazakhstan,Modern typography and layout,Wikimedia Commons,2005-2009,2005-2009,region_specific_or_not_global,18,18,0,0,17,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=17; scope=region_specific_or_not_global; lane=card_context_cluster
Azerbaijan|Modern typography and layout|Wikimedia Commons|1935-1939,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Azerbaijan,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1939,region_specific_or_not_global,17,17,0,17,0,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=17; card_candidates=0; scope=region_specific_or_not_global; lane=packet_parentage_review
Colombia|Modern typography and layout|Wikimedia Commons|1895-1899,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Colombia,Modern typography and layout,Wikimedia Commons,1895-1899,1895-1899,region_specific_or_not_global,17,17,0,0,17,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=17; scope=region_specific_or_not_global; lane=card_context_cluster
India|Modern typography and layout|Wikimedia Commons|1955-1959,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,India,Modern typography and layout,Wikimedia Commons,1955-1959,1955-1958,region_specific_or_not_global,17,17,0,8,9,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=8; card_candidates=9; scope=region_specific_or_not_global; lane=packet_parentage_review
Iraq|Modern typography and layout|Wikimedia Commons|1930-1934,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Iraq,Modern typography and layout,Wikimedia Commons,1930-1934,1930-1932,region_specific_or_not_global,17,17,0,0,17,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=17; scope=region_specific_or_not_global; lane=card_context_cluster
Philippines|Modern typography and layout|Wikimedia Commons|1975-1979,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Philippines,Modern typography and layout,Wikimedia Commons,1975-1979,1976-1979,region_specific_or_not_global,17,17,0,1,16,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=16; scope=region_specific_or_not_global; lane=card_context_cluster
Ukraine|Modern typography and layout|Wikimedia Commons|2005-2009,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Ukraine,Modern typography and layout,Wikimedia Commons,2005-2009,2005-2009,region_specific_or_not_global,17,17,0,6,10,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=6; card_candidates=10; scope=region_specific_or_not_global; lane=packet_parentage_review
Slovenia|Modern typography and layout|Wikimedia Commons|1915-1919,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Slovenia,Modern typography and layout,Wikimedia Commons,1915-1919,1919-1919,region_specific_or_not_global,16,16,0,0,16,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=16; scope=region_specific_or_not_global; lane=card_context_cluster
Ukraine|Modern typography and layout|Wikimedia Commons|2000-2004,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Ukraine,Modern typography and layout,Wikimedia Commons,2000-2004,2000-2004,region_specific_or_not_global,16,16,0,2,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=13; scope=region_specific_or_not_global; lane=packet_parentage_review
Belgium|Modern typography and layout|Wikimedia Commons|1925-1929,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Belgium,Modern typography and layout,Wikimedia Commons,1925-1929,1925-1929,region_specific_or_not_global,15,15,0,2,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=13; scope=region_specific_or_not_global; lane=packet_parentage_review
Brazil|Modern typography and layout|Wikimedia Commons|1865-1869,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Brazil,Modern typography and layout,Wikimedia Commons,1865-1869,1865-1869,region_specific_or_not_global,15,15,0,0,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=14; scope=region_specific_or_not_global; lane=card_context_cluster
Colombia|Modern typography and layout|Wikimedia Commons|1900-1904,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Colombia,Modern typography and layout,Wikimedia Commons,1900-1904,1900-1903,region_specific_or_not_global,15,15,0,1,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=14; scope=region_specific_or_not_global; lane=card_context_cluster
Indonesia|Modern typography and layout|Wikimedia Commons|1960-1964,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Indonesia,Modern typography and layout,Wikimedia Commons,1960-1964,1960-1963,region_specific_or_not_global,15,15,0,2,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=13; scope=region_specific_or_not_global; lane=packet_parentage_review
Latin America|Modern typography and layout|Wikimedia Commons|1950-1954,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Latin America,Modern typography and layout,Wikimedia Commons,1950-1954,1950-1952,region_specific_or_not_global,15,15,0,15,0,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=15; card_candidates=0; scope=region_specific_or_not_global; lane=packet_parentage_review
Mexico|Modern typography and layout|Wikimedia Commons|1880-1884,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Mexico,Modern typography and layout,Wikimedia Commons,1880-1884,1880-1883,region_specific_or_not_global,15,15,0,0,15,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=15; scope=region_specific_or_not_global; lane=card_context_cluster
Peru|Modern typography and layout|Wikimedia Commons|1960-1964,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Peru,Modern typography and layout,Wikimedia Commons,1960-1964,1960-1962,region_specific_or_not_global,15,15,0,0,15,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=15; scope=region_specific_or_not_global; lane=card_context_cluster
Seychelles|Modern typography and layout|Wikimedia Commons|1895-1899,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Seychelles,Modern typography and layout,Wikimedia Commons,1895-1899,1895-1899,region_specific_or_not_global,15,15,0,0,15,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=15; scope=region_specific_or_not_global; lane=card_context_cluster
Angola|Modern typography and layout|Wikimedia Commons|1860-1864,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Angola,Modern typography and layout,Wikimedia Commons,1860-1864,1863-1863,region_specific_or_not_global,14,14,0,0,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=14; scope=region_specific_or_not_global; lane=card_context_cluster
Aotearoa New Zealand|Modern typography and layout|Wikimedia Commons|1915-1919,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Aotearoa New Zealand,Modern typography and layout,Wikimedia Commons,1915-1919,1915-1919,region_specific_or_not_global,14,14,0,0,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=13; scope=region_specific_or_not_global; lane=card_context_cluster
Armenia|Modern typography and layout|Wikimedia Commons|1995-1999,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Armenia,Modern typography and layout,Wikimedia Commons,1995-1999,1996-1999,region_specific_or_not_global,14,14,0,0,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=14; scope=region_specific_or_not_global; lane=card_context_cluster
Indonesia|Modern typography and layout|Wikimedia Commons|1955-1959,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Indonesia,Modern typography and layout,Wikimedia Commons,1955-1959,1955-1958,region_specific_or_not_global,14,14,0,1,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=13; scope=region_specific_or_not_global; lane=card_context_cluster
Italy|Modern typography and layout|Wikimedia Commons|1925-1929,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Italy,Modern typography and layout,Wikimedia Commons,1925-1929,1929-1929,region_specific_or_not_global,14,14,0,0,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=14; scope=region_specific_or_not_global; lane=card_context_cluster
Italy|Modern typography and layout|Wikimedia Commons|1935-1939,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Italy,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1938,region_specific_or_not_global,14,14,0,1,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=13; scope=region_specific_or_not_global; lane=card_context_cluster
Lithuania|Modern typography and layout|Wikimedia Commons|1930-1934,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Lithuania,Modern typography and layout,Wikimedia Commons,1930-1934,1930-1933,region_specific_or_not_global,14,14,0,0,14,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=14; scope=region_specific_or_not_global; lane=card_context_cluster
Algeria|Modern typography and layout|Wikimedia Commons|1950-1954,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Algeria,Modern typography and layout,Wikimedia Commons,1950-1954,1950-1954,region_specific_or_not_global,13,13,0,1,12,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=12; scope=region_specific_or_not_global; lane=card_context_cluster
Armenia|Modern typography and layout|Wikimedia Commons|1990-1994,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Armenia,Modern typography and layout,Wikimedia Commons,1990-1994,1990-1993,region_specific_or_not_global,13,13,0,0,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=13; scope=region_specific_or_not_global; lane=card_context_cluster
Bolivia|Modern typography and layout|Wikimedia Commons|1895-1899,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Bolivia,Modern typography and layout,Wikimedia Commons,1895-1899,1897-1899,region_specific_or_not_global,13,13,0,1,12,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=1; card_candidates=12; scope=region_specific_or_not_global; lane=card_context_cluster
Germany|Modern typography and layout|Wikimedia Commons|1970-1974,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,parentage_signal_needed,medium,packet_parentage_review,Germany,Modern typography and layout,Wikimedia Commons,1970-1974,1970-1974,region_specific_or_not_global,13,13,0,2,11,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=2; card_candidates=11; scope=region_specific_or_not_global; lane=packet_parentage_review
Kenya|Modern typography and layout|Wikimedia Commons|1960-1964,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Kenya,Modern typography and layout,Wikimedia Commons,1960-1964,1963-1963,region_specific_or_not_global,13,13,0,0,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=13; scope=region_specific_or_not_global; lane=card_context_cluster
Kenya|Modern typography and layout|Wikimedia Commons|1970-1974,30,phase_1_anchor_selection,select_or_confirm_normal_main_anchor_before_sub_assignment,missing_or_unsettled_normal_main_anchor,false,large,card_or_appendix_pool,medium,card_context_cluster,Kenya,Modern typography and layout,Wikimedia Commons,1970-1974,1971-1973,region_specific_or_not_global,13,13,0,0,13,0,0,15,mandatory_editorial_page,cover_main_required,normal_main_anchor_selection_needed,packet_tree_directory,scale=large; sub_candidates=0; card_candidates=13; scope=region_specific_or_not_global; lane=card_context_cluster
